case,backend,n_bus,ybus_nnz,n_pv,n_pq,runs,ok_runs,converged_runs,initialize_mean_ms,initialize_median_ms,initialize_min_ms,initialize_max_ms,initialize_std_ms,solve_mean_ms,solve_median_ms,solve_min_ms,solve_max_ms,solve_std_ms,total_mean_ms,total_median_ms,final_mismatch_median,iterations_median,first_error
case22,cudss,22,64,0,21,10,10,10,18.250568106304854,18.23517552111298,18.194428994320333,18.374515988398343,0.05144636643813881,0.4825224925298244,0.48016998334787786,0.4759719595313072,0.494826992508024,0.006049389314524137,18.73309059883468,18.71876700897701,1.3287010380835795e-12,4.0,
case22,custom,22,64,0,21,10,10,10,0.7130780024453998,0.6984045030549169,0.6729919696226716,0.7861939957365394,0.042179690203147394,0.451686599990353,0.45282350038178265,0.4450539709068835,0.4583289846777916,0.004688326431625552,1.1647646024357527,1.1487790034152567,2.2057494719618376e-12,4.0,
case2383wp,cudss,2383,8155,326,2056,10,10,10,35.686288704164326,35.661293513840064,35.58512101881206,35.90325696859509,0.09789848684413872,3.526600293116644,3.519006510032341,3.5151299671269953,3.5655450192280114,0.015800061345263287,39.21288899728097,39.17856249609031,5.416432115554942e-12,7.0,
case2383wp,custom,2383,8155,326,2056,10,10,10,6.314841198036447,6.267875491175801,5.996812018565834,6.62327598547563,0.20562176764194823,3.022550593595952,3.0414325010497123,2.8339229756966233,3.15269100246951,0.09620851118913266,9.337391791632399,9.311867004726082,5.1276741551424616e-12,7.0,
case24_ieee_rts,cudss,24,92,10,13,10,10,10,18.328538292553276,18.334030988626182,18.283675948623568,18.35192396538332,0.020427206935492905,0.6130222056526691,0.6128590030129999,0.6052840035408735,0.6217460031621158,0.005525228396541814,18.941560498205945,18.9456274965778,2.3090418466154006e-12,5.0,
case24_ieee_rts,custom,24,92,10,13,10,10,10,0.7304924074560404,0.7131970196496695,0.6912460085004568,0.8076340309344232,0.041750006411728185,0.5924496683292091,0.5866999854333699,0.584765977691859,0.6212549633346498,0.011913836305885422,1.3229420757852495,1.2985194916836917,2.3081536681957004e-12,5.0,
case2736sp,cudss,2736,9262,233,2502,10,10,10,38.76356160035357,38.54979402967729,38.33810199284926,40.835504012648016,0.7366773405982058,2.811275311978534,2.801276510581374,2.7850510086864233,2.914373006206006,0.03753724192023008,41.5748369123321,41.351601510541514,6.363874530399195e-12,5.0,
case2736sp,custom,2736,9262,233,2502,10,10,10,7.583736203378066,7.546612003352493,7.470245007425547,7.784584013279527,0.11408958828194356,2.347363706212491,2.358070487389341,2.135584014467895,2.559649001341313,0.12767052829445064,9.931099909590557,9.90895152790472,6.3918360610628905e-12,5.0,
case2737sop,cudss,2737,9263,192,2544,10,10,10,38.88893768307753,38.90600148588419,38.69529196526855,39.01403897907585,0.10433691138854792,3.2983694050926715,3.2929280132520944,3.2843369990587234,3.3384180278517306,0.015530027762420406,42.1873070881702,42.21672299900092,7.516052388189116e-12,6.0,
case2737sop,custom,2737,9263,192,2544,10,10,10,7.607814291259274,7.562206475995481,7.505310990381986,7.793029013555497,0.10506887523605458,2.847243711585179,2.871243021218106,2.5784139870665967,3.142942034173757,0.18487186024241922,10.455058002844453,10.426591499708593,7.521319734843474e-12,6.0,
case2746wop,cudss,2746,9344,349,2396,10,10,10,38.969329511746764,38.98376750294119,38.788276026025414,39.17301696492359,0.1270693801846006,2.9516972950659692,2.9531715263146907,2.9299319721758366,2.964045968838036,0.010407663361617272,41.92102680681273,41.94067051867023,2.9707290507731263e-09,5.0,
case2746wop,custom,2746,9344,349,2396,10,10,10,7.86353750154376,7.880147488322109,7.669598038773984,8.037979016080499,0.11001724553386766,2.261352399364114,2.2718140098731965,2.0974319777451456,2.3394660092890263,0.07620388542057051,10.124889900907874,10.133487521670759,2.970721033415599e-09,5.0,
case2746wp,cudss,2746,9292,363,2382,10,10,10,37.98668520175852,37.976563995471224,37.869353021960706,38.222856004722416,0.09732340496605446,2.7030353958252817,2.6942559925373644,2.6809960254468024,2.7947789640165865,0.03288092102721172,40.6897205975838,40.66550001152791,7.809978518008853e-10,5.0,
case2746wp,custom,2746,9292,363,2382,10,10,10,7.535058900248259,7.497304497519508,7.364246004726738,7.80679500894621,0.14409235856869723,2.254857000662014,2.2323044831864536,2.1078319987282157,2.418103045783937,0.0906883203112363,9.789915900910273,9.76088852621615,7.809967373439529e-10,5.0,
