case,backend,repeat,status,initialize_ms,solve_ms,total_ms,iterations,final_mismatch,converged,n_bus,ybus_nnz,n_pv,n_pq,error
case57,custom,10,ok,0.8177729905582964,0.6225769757293165,1.440349966287613,4,3.4522881171838054e-12,True,57,213,6,50,
case59,cudss,1,ok,18.656786007340997,1.002618984784931,19.65940499212593,6,2.1582735598713043e-13,True,59,207,18,40,
case59,custom,1,ok,0.8411169983446598,0.8713530260138214,1.7124700243584812,6,3.069384274568916e-13,True,59,207,18,40,
case59,cudss,2,ok,18.70861300267279,1.0081700165756047,19.716783019248396,6,1.3275681317350284e-13,True,59,207,18,40,
case59,custom,2,ok,0.747190963011235,0.8465769933536649,1.5937679563648999,6,2.857714065385153e-13,True,59,207,18,40,
case59,cudss,3,ok,18.751472991425544,0.999813957605511,19.751286949031055,6,2.1582735598713043e-13,True,59,207,18,40,
case59,custom,3,ok,0.8841179660521448,0.8604030008427799,1.7445209668949246,6,3.069384274568916e-13,True,59,207,18,40,
case59,cudss,4,ok,18.75240501249209,1.0157140204682946,19.768119032960385,6,2.6201263381153694e-13,True,59,207,18,40,
case59,custom,4,ok,0.7334650144912302,0.8385920082218945,1.5720570227131248,6,3.069384274568916e-13,True,59,207,18,40,
case59,cudss,5,ok,18.693034013267606,1.011775981169194,19.7048099944368,6,1.1082801343320625e-13,True,59,207,18,40,
case59,custom,5,ok,0.7363499607890844,0.8417280041612685,1.578077964950353,6,3.069384274568916e-13,True,59,207,18,40,
case59,cudss,6,ok,18.66022200556472,1.0004949872381985,19.660716992802918,6,1.1082801343320625e-13,True,59,207,18,40,
case59,custom,6,ok,0.7514089811593294,0.8295649895444512,1.5809739707037807,6,3.069384274568916e-13,True,59,207,18,40,
case59,cudss,7,ok,18.692040990572423,1.0034720180556178,19.69551300862804,6,3.22631674458819e-13,True,59,207,18,40,
case59,custom,7,ok,0.7442350033670664,0.8540310082025826,1.598266011569649,6,3.069384274568916e-13,True,59,207,18,40,
case59,cudss,8,ok,18.66082299966365,1.0069480049423873,19.66777100460604,6,2.4982037934507596e-13,True,59,207,18,40,
case59,custom,8,ok,0.8356869802810252,0.8523580036126077,1.6880449838936329,6,3.069384274568916e-13,True,59,207,18,40,
case59,cudss,9,ok,18.67572095943615,0.9977210429497063,19.673442002385855,6,2.1582735598713043e-13,True,59,207,18,40,
case59,custom,9,ok,0.7462289649993181,0.8486110018566251,1.5948399668559432,6,3.069384274568916e-13,True,59,207,18,40,
case59,cudss,10,ok,18.64452299196273,0.999443989712745,19.643966981675476,6,2.1582735598713043e-13,True,59,207,18,40,
case59,custom,10,ok,0.7421719492413104,0.8480290416628122,1.5902009909041226,6,3.069384274568916e-13,True,59,207,18,40,
case60nordic,cudss,1,ok,19.10299202427268,0.2730119740590453,19.376003998331726,2,3.099387413385557e-09,True,60,204,22,37,
case60nordic,custom,1,ok,0.852378027047962,0.2643849584273994,1.1167629854753613,2,3.099387413385557e-09,True,60,204,22,37,
case60nordic,cudss,2,ok,18.68017000379041,0.2904140274040401,18.97058403119445,2,3.099387413385557e-09,True,60,204,22,37,
case60nordic,custom,2,ok,1.0232680360786617,0.2728519611991942,1.2961199972778559,2,3.099387413385557e-09,True,60,204,22,37,
case60nordic,cudss,3,ok,18.79944303072989,0.2864169655367732,19.085859996266663,2,3.099387413385557e-09,True,60,204,22,37,
case60nordic,custom,3,ok,0.8969420450739563,0.27566595235839486,1.1726079974323511,2,3.099387413385557e-09,True,60,204,22,37,
case60nordic,cudss,4,ok,18.79087701672688,0.27918402338400483,19.070061040110886,2,3.099387413385557e-09,True,60,204,22,37,
case60nordic,custom,4,ok,0.9245830005966127,0.2824090188369155,1.2069920194335282,2,3.099387413385557e-09,True,60,204,22,37,
case60nordic,cudss,5,ok,18.670631980057806,0.28140697395429015,18.952038954012096,2,3.099387413385557e-09,True,60,204,22,37,
case60nordic,custom,5,ok,0.817512976936996,0.27072697412222624,1.0882399510592222,2,3.099387413385557e-09,True,60,204,22,37,
case60nordic,cudss,6,ok,18.671943980734795,0.2827400458045304,18.954684026539326,2,3.099387413385557e-09,True,60,204,22,37,
case60nordic,custom,6,ok,0.7710860227234662,0.260507978964597,1.0315940016880631,2,3.099387413385557e-09,True,60,204,22,37,
case60nordic,cudss,7,ok,19.082262995652854,0.28159801149740815,19.363861007150263,2,3.099387413385557e-09,True,60,204,22,37,
case60nordic,custom,7,ok,0.7954820175655186,0.26839302154257894,1.0638750391080976,2,3.099387413385557e-09,True,60,204,22,37,
case60nordic,cudss,8,ok,18.72454205295071,0.2805059775710106,19.00504803052172,2,3.099387413385557e-09,True,60,204,22,37,
case60nordic,custom,8,ok,0.802383990958333,0.2634539850987494,1.0658379760570824,2,3.099387413385557e-09,True,60,204,22,37,
case60nordic,cudss,9,ok,18.638551991898566,0.2906540175899863,18.929206009488553,2,3.099387413385557e-09,True,60,204,22,37,
case60nordic,custom,9,ok,0.7912230212241411,0.26551797054708004,1.0567409917712212,2,3.099387413385557e-09,True,60,204,22,37,
case60nordic,cudss,10,ok,18.692823010496795,0.2840030356310308,18.976826046127826,2,3.099387413385557e-09,True,60,204,22,37,
case60nordic,custom,10,ok,0.7912830333225429,0.2668009838089347,1.0580840171314776,2,3.099387413385557e-09,True,60,204,22,37,
case6468rte,cudss,1,ok,64.57101099658757,3.1549640116281807,67.72597500821576,4,7.78500548164277e-12,True,6468,22598,291,6176,
case6468rte,custom,1,ok,17.90049800183624,2.8085149824619293,20.70901298429817,4,7.866428888081883e-12,True,6468,22598,291,6176,
case6468rte,cudss,2,ok,64.46061294991523,3.1389750074595213,67.59958795737475,4,1.0554012636659735e-11,True,6468,22598,291,6176,
case6468rte,custom,2,ok,18.850778986234218,2.6775699807330966,21.528348966967314,4,1.2397527449081736e-11,True,6468,22598,291,6176,
case6468rte,cudss,3,ok,64.67640795744956,3.143923997413367,67.82033195486292,4,7.5705495937498e-12,True,6468,22598,291,6176,
case6468rte,custom,3,ok,17.554619000293314,2.6405510143376887,20.195170014631003,4,7.992527662561681e-12,True,6468,22598,291,6176,
case6468rte,cudss,4,ok,65.13609900139272,3.1736399978399277,68.30973899923265,4,7.781131823207929e-12,True,6468,22598,291,6176,
case6468rte,custom,4,ok,17.771735962014645,2.878827042877674,20.65056300489232,4,7.883212223192227e-12,True,6468,22598,291,6176,
case6468rte,cudss,5,ok,64.7698730463162,3.15900199348107,67.92887503979728,4,1.1676217002985884e-11,True,6468,22598,291,6176,
case6468rte,custom,5,ok,17.630541988182813,2.755616034846753,20.386158023029566,4,9.2210683533267e-12,True,6468,22598,291,6176,
case6468rte,cudss,6,ok,64.6064670290798,3.145105962175876,67.75157299125567,4,1.0199396882626388e-11,True,6468,22598,291,6176,
case6468rte,custom,6,ok,18.107776006218046,2.8377100243233144,20.94548603054136,4,1.047395503661619e-11,True,6468,22598,291,6176,
case6468rte,cudss,7,ok,64.73504804307595,3.150055999867618,67.88510404294357,4,7.99252766256169e-12,True,6468,22598,291,6176,
case6468rte,custom,7,ok,18.469553964678198,2.802344039082527,21.271898003760725,4,7.66254238561852e-12,True,6468,22598,291,6176,
case6468rte,cudss,8,ok,64.79836598737165,3.1479420140385628,67.94630800141022,4,6.559364162939119e-12,True,6468,22598,291,6176,
case6468rte,custom,8,ok,18.045751028694212,2.901929954532534,20.947680983226746,4,7.779840603729455e-12,True,6468,22598,291,6176,
case6468rte,cudss,9,ok,64.67769097071141,3.144415037240833,67.82210600795224,4,1.1509924981622048e-11,True,6468,22598,291,6176,
case6468rte,custom,9,ok,18.124197027646005,2.865691960323602,20.989888987969607,4,7.787587920599503e-12,True,6468,22598,291,6176,
case6468rte,cudss,10,ok,64.80743404245004,3.1425610068254173,67.94999504927546,4,1.083080847230633e-11,True,6468,22598,291,6176,
case6468rte,custom,10,ok,17.906118009705096,2.838862012140453,20.74498002184555,4,1.3801915141252713e-11,True,6468,22598,291,6176,
