case	solver	precision	B	analyze_ms	factor_per_sys_ms	solve_per_sys_ms	relres	n	nnz
case6468rte	custom	tf32	256	16.8311	0.0167166	0.01276	0.00343242	12643	87845
case8387pegase	cuDSS_ubatch_mtauto	fp32	1	30.5784	0.539826	0.23049	1.16794e-05	14908	110572
case8387pegase	custom	fp32	1	20.2392	0.352687	0.242101	1.96678e-05	14908	110572
case8387pegase	custom	fp16	1	20.9837	0.444068	0.246299	0.00650584	14908	110572
case8387pegase	custom	tf32	1	20.9303	0.418029	0.233917	0.036067	14908	110572
case8387pegase	cuDSS_ubatch_mtauto	fp32	4	30.7327	0.246963	0.0972188	1.36111e-05	14908	110572
case8387pegase	custom	fp32	4	20.1571	0.106528	0.0809185	2.09169e-05	14908	110572
case8387pegase	custom	fp16	4	19.8197	0.125113	0.0860102	0.00908657	14908	110572
case8387pegase	custom	tf32	4	20.7442	0.117639	0.081845	0.0364783	14908	110572
case8387pegase	cuDSS_ubatch_mtauto	fp32	32	30.1177	0.164379	0.0648594	1.90282e-05	14908	110572
case8387pegase	custom	fp32	32	21.7471	0.0325447	0.0318647	3.72551e-05	14908	110572
case8387pegase	custom	fp16	32	20.0897	0.0325206	0.0254606	0.0222438	14908	110572
case8387pegase	custom	tf32	32	19.6018	0.0327911	0.0258579	0.0304258	14908	110572
case8387pegase	cuDSS_ubatch_mtauto	fp32	64	63.6998	0.157982	0.0623342	1.91705e-05	14908	110572
case8387pegase	custom	fp32	64	19.7676	0.0266599	0.0213698	2.84574e-05	14908	110572
case8387pegase	custom	fp16	64	19.5347	0.0285324	0.0217371	0.00553073	14908	110572
case8387pegase	custom	tf32	64	21.1664	0.0302019	0.0223448	0.0316168	14908	110572
case8387pegase	cuDSS_ubatch_mtauto	fp32	256	30.1516	0.153024	0.0602608	1.92463e-05	14908	110572
case8387pegase	custom	fp32	256	20.6549	0.0236073	0.0186697	1.86701e-05	14908	110572
case8387pegase	custom	fp16	256	20.3035	0.0239929	0.0186043	0.020916	14908	110572
case8387pegase	custom	tf32	256	20.1182	0.0237179	0.0186726	0.0575018	14908	110572
case9241pegase	cuDSS_ubatch_mtauto	fp32	1	32.2654	0.564012	0.228997	2.67675e-06	17036	129412
case9241pegase	custom	fp32	1	22.6611	0.384797	0.256889	2.80869e-06	17036	129412
case9241pegase	custom	fp16	1	21.5659	0.479815	0.267489	0.000668001	17036	129412
case9241pegase	custom	tf32	1	22.6707	0.431234	0.254504	0.000815912	17036	129412
case9241pegase	cuDSS_ubatch_mtauto	fp32	4	40.6068	0.270284	0.103573	2.69617e-06	17036	129412
case9241pegase	custom	fp32	4	22.5698	0.109532	0.0877535	2.69233e-06	17036	129412
case9241pegase	custom	fp16	4	23.1767	0.130326	0.090927	0.000621874	17036	129412
case9241pegase	custom	tf32	4	22.9245	0.133689	0.0899603	0.000713525	17036	129412
case9241pegase	cuDSS_ubatch_mtauto	fp32	32	47.2136	0.18308	0.069699	2.74974e-06	17036	129412
case9241pegase	custom	fp32	32	22.8259	0.0334818	0.0281725	2.68619e-06	17036	129412
case9241pegase	custom	fp16	32	23.7516	0.0384251	0.029768	0.000676433	17036	129412
case9241pegase	custom	tf32	32	22.2938	0.034983	0.0303268	0.0010531	17036	129412
case9241pegase	cuDSS_ubatch_mtauto	fp32	64	38.5035	0.176247	0.0671995	2.81714e-06	17036	129412
