case_name,mt_label,runs,cudss_analysis_ms,cudss_analysis_ms_ratio_vs_no_mt,cudss_analysis_ms_speedup_vs_no_mt,cudss_setup_ms,cudss_setup_ms_ratio_vs_no_mt,cudss_setup_ms_speedup_vs_no_mt,cudss_factorization_ms,cudss_factorization_ms_ratio_vs_no_mt,cudss_factorization_ms_speedup_vs_no_mt,cudss_refactorization_ms,cudss_refactorization_ms_ratio_vs_no_mt,cudss_refactorization_ms_speedup_vs_no_mt,cudss_solve_ms,cudss_solve_ms_ratio_vs_no_mt,cudss_solve_ms_speedup_vs_no_mt,nr_analyze_linear_solve_ms,nr_analyze_linear_solve_ms_ratio_vs_no_mt,nr_analyze_linear_solve_ms_speedup_vs_no_mt,nr_iteration_linear_solve_ms,nr_iteration_linear_solve_ms_ratio_vs_no_mt,nr_iteration_linear_solve_ms_speedup_vs_no_mt
case8387_pegase,mt_auto,10,28.2243,0.6558787715417077,1.5246720024943046,1.6319,0.9261634506242905,1.0797230222440102,0.6567000000000001,0.9504993486756405,1.0520785746916401,0.56048,0.999001853700271,1.0009991435912076,0.24081666666666,0.967588562244679,1.0334971278289304,29.8595,0.6665349646525188,1.5002963880841942,0.8525,0.9109852532592337,1.0977126099706862
case8387_pegase,mt_1,10,42.675200000000004,0.9916900596754105,1.0083795740851829,1.6289,0.924460839954597,1.0817115845048806,0.6556,0.9489072224634533,1.053843807199512,0.56152,1.0008555539711965,0.9991451773756945,0.24335,0.9777673608786042,1.0227381686185741,44.3074,0.9890464104504433,1.0110748994524617,0.85760000000002,0.9164351357127708,1.0911847014925236
case8387_pegase,mt_2,10,34.3423,0.7980493948801844,1.253055270031419,1.6664,0.9457434733257662,1.057369179068651,0.6565,0.9502098711825154,1.0523990860624526,0.55602,0.9910523313845715,1.0090284522139492,0.24166666666667,0.971003817049514,1.0298620689654894,36.012,0.8038733785584657,1.243977007664112,0.85303333333334,0.9115551756073209,1.0970262983080021
case8387_pegase,mt_4,10,29.4436,0.6842129724303322,1.4615332364248939,1.6146,0.9163450624290579,1.0912919608571783,0.6557999999999999,0.9491966999565782,1.05352241537054,0.55782,0.9942606587765578,1.005772471406547,0.24206666666666,0.972610995781142,1.0281602864224877,31.0615,0.6933664597382478,1.4422387843471822,0.85418333333332,0.9127840706703472,1.0955493551345628
case8387_pegase,mt_8,10,26.7193,0.6209054488669108,1.6105511746190957,1.6268,0.9232690124858116,1.0831079419719696,0.6582,0.9526704298740772,1.0496809480401095,0.55918,0.9966847283616141,1.0033262992238634,0.24051666666666,0.966383178195928,1.034786224100909,28.3487,0.6328103200805392,1.5802523572509497,0.85266666666667,0.9111633539930123,1.0974980453479355
case8387_pegase,mt_16,10,24.8016,0.5763417672101281,1.735081607638217,1.6078,0.9124858115777524,1.0959074511755194,0.6569,0.9507888261687654,1.0517582584868321,0.55658,0.9920504776843005,1.0080132236156527,0.2504,1.006093886024255,0.9939430244941294,26.4127,0.5895942015397975,1.6960818091296987,0.8614333333333299,0.9205314525895713,1.086328986572782
case8387_pegase,mt_32,10,24.7611,0.5754006246398096,1.7379195593087546,1.6129,0.9153802497162316,1.0924421848843697,0.6573,0.9513677811550151,1.05111821086262,0.56202,1.001746756024526,0.9982562898117505,0.24621666666667,0.9892854751222391,1.0108305692817707,26.3774,0.5888062216924379,1.6983516191891541,0.86053333333334,0.9195697086271969,1.0874651378989806
case9241_pegase,no_mt,10,46.547,1.0,1.0,1.6619,1.0,1.0,0.6857,1.0,1.0,0.59070000000002,1.0,1.0,0.24152857142858,1.0,1.0,48.2118,1.0,1.0,0.8856,1.0,1.0
case9241_pegase,mt_auto,10,26.5472,0.5703310632264164,1.7533675867888137,1.6299,0.9807449305012335,1.0196331063255415,0.6869,1.0017500364590928,0.9982530208181686,0.5921666666666799,1.00248292985722,0.9975232198142528,0.2413,0.9990536464186076,1.0009472500148364,28.1801,0.5845062826942782,1.7108455967154126,0.88672857142859,1.0012743579816958,0.9987272639396612
case9241_pegase,mt_1,10,46.509,0.9991836208563388,1.000817046163108,1.6752,1.0080028882604248,0.9920606494746895,0.6910000000000001,1.007729327694327,0.9923299565846598,0.59258333333333,1.0031883076575419,0.9968218253410602,0.24192857142857999,1.0016561187673743,0.9983466194272218,48.1874,0.9994938998336507,1.0005063564334244,0.89134285714286,1.0064847077042232,0.993557072795458
case9241_pegase,mt_2,10,36.1197,0.7759834146131868,1.2886873368272713,1.654,0.995246404717492,1.004776299879081,0.7036,1.0261047105148025,0.9745594087549744,0.59091666666667,1.0003667964561538,0.999633338034156,0.2418857142857,1.0014786774707753,0.9985235057879518,37.777,0.7835633600073012,1.2762209810201974,0.8875,1.0021454381210477,0.9978591549295776
case9241_pegase,mt_4,10,31.0462,0.6669860571035727,1.4992817156366962,1.609,0.9681689632348517,1.032877563704164,0.6891,1.0049584366340967,0.9950660281526628,0.59408333333334,1.005727667738818,0.9943049516061384,0.24690000000001,1.0222393091618907,0.9782445177341847,32.658500000000004,0.6773964050294742,1.4762404886936018,0.89438571428571,1.00992063492063,0.9901768172888064
case9241_pegase,mt_8,10,28.5627,0.6136313833329753,1.6296428558924752,1.6107,0.9691918888019737,1.0317874216179301,0.6892,1.0051042730056876,0.9949216482878699,0.5958,1.0086338242762483,0.9914400805639811,0.24394285714285,1.009995859703016,0.9901030686344048,30.1764,0.6259131581894889,1.5976657255338607,0.89404285714285,1.0095334881920166,0.9905565409136746
case9241_pegase,mt_16,10,26.8559,0.5769630695855802,1.733213185929349,1.6198,0.9746675491906853,1.0259908630695147,0.6886,1.0042292547761411,0.9957885564914318,0.5952833333333201,1.007759155803792,0.9923005851555838,0.24205714285714,1.0021884426568404,0.9978163361662418,28.4786,0.5906977130080189,1.6929132752312261,0.88944285714285,1.0043392695831639,0.9956794783251233
case9241_pegase,mt_32,10,29.4324,0.6323157238919802,1.5814884277191121,1.5872,0.9550514471388171,1.0470640120967742,0.6861999999999999,1.0007291818579553,0.9992713494607987,0.59153333333332,1.0014107556006433,0.9985912318269468,0.24204285714287,1.0021292955580705,0.9978752287080035,31.0232,0.6434773229790217,1.5540563191418035,0.88444285714285,0.9986933797909326,1.0013083296990923
